Appelation;Mise_sous;Commentaire (X=à ignorer);Nb;First;Last;Mea_Sp;Mea_Su;Mea_Au;Mea_Wi
Diplopsalis + Diplopelta + Diplopsalopsis + Preperidinium + Oblea;;;272;21/05/1987;16/12/2019;762.6;749.46;367.7;161.54
Diplopsalopsis;Diplopsalis + Diplopelta + Diplopsalopsis + Preperidinium + Oblea;;1;23/07/2012;23/07/2012;NA;100;NA;NA
Ditylum;Ditylum brightwellii;;636;17/09/1987;28/10/2019;5741.62;3341.88;1728.07;577.14
Ditylum brightwellii;;;315;12/08/2002;30/12/2019;8690.67;5006.08;709.24;971.19
Ebria tripartita;X;;4;20/10/1993;25/10/2002;NA;200;516.67;NA
Ebriaceae;X;;1;29/08/2005;29/08/2005;NA;4900;NA;NA
Entomoneis;;;11;12/11/1987;06/08/2012;NA;233.33;833.33;1600
Eucampia;Eucampia zodiacus;;2;06/09/2012;07/08/2015;NA;100;7893;NA
Eucampia + Climacodium;Eucampia zodiacus;;132;31/07/1987;23/07/2008;9081.26;7611.51;33538.91;2033.33
Eucampia zodiacus;;;164;12/06/2002;15/10/2019;7411.11;47776.77;7223.41;800
Euglena;Euglenia;;24;16/03/2010;26/03/2018;1273.71;496.17;520;297.12
Euglenaceae;Euglenia;;245;02/10/2008;03/12/2019;836.92;773.58;911.63;401.64
Euglenia;;;200;11/02/2016;30/12/2019;6332.61;965.22;578.69;654.55
Euglenoidea;Euglenia;;577;07/07/1987;02/12/2019;596.88;1643.26;1089.58;1078.32
Eutreptia;Euglenia;;5;02/01/2012;13/11/2017;NA;NA;733.33;150
Eutreptiaceae;Euglenia;;68;03/12/2012;22/10/2019;480;311.11;472.73;225
Eutreptiella;Euglenia;;156;13/03/2007;28/08/2019;999.17;1380.48;790.24;419.47
Eutreptiida;X;;3;29/02/2016;23/08/2016;400;700;NA;300
Fragilaria;Fragilariaceae;;20;21/05/1987;11/02/2019;1411.11;933.33;200;657.14
Fragilariaceae;;;52;19/02/2003;12/06/2019;9092.86;940;983.33;1488.89
Fragilidium;Dinophyceae;;1;22/05/2000;22/05/2000;7400;NA;NA;NA
Goniodoma;Dinophyceae;;4;21/11/2002;22/04/2004;666.67;NA;200;NA
